antenna,tag_name,radius_m,angle_deg,signal_out,signal_in,proportion,date,
S1,card,0.1,80,1000,610,,2024-10-11,
S1,card,0.2,80,1000,538,,2024-10-11,
S1,card,0.3,80,1000,515,,2024-10-11,
S1,card,0.5,80,1000,482,,2024-10-11,
S1,card,0.7,80,1000,463,,2024-10-11,
S1,card,0.9,80,1000,495,,2024-10-11,
S1,card,1.1,80,1000,452,,2024-10-11,
S1,card,1.3,80,1000,421,,2024-10-11,
S1,card,1.5,80,1000,363,,2024-10-11,
S1,card,1.7,80,1000,359,,2024-10-11,
S1,card,1.9,80,1000,239,,2024-10-11,
S1,card,2.1,80,1000,374,,2024-10-11,
S1,card,2.3,80,1000,415,,2024-10-11,
S1,card,2.5,80,1000,418,,2024-10-11,
S1,card,2.7,80,1000,160,,2024-10-11,
S1,card,2.9,80,1000,367,,2024-10-11,
S1,card,0.1,80,1000,641,,2024-10-11,
S1,card,0.2,80,1000,549,,2024-10-11,
S1,card,0.3,80,1000,502,,2024-10-11,
S1,card,0.5,80,1000,493,,2024-10-11,
S1,card,0.7,80,1000,479,,2024-10-11,
S1,card,0.9,80,1000,485,,2024-10-11,
S1,card,1.1,80,1000,449,,2024-10-11,
S1,card,1.3,80,1000,421,,2024-10-11,
S1,card,1.5,80,1000,386,,2024-10-11,
S1,card,1.7,80,1000,387,,2024-10-11,
S1,card,1.9,80,1000,359,,2024-10-11,
S1,card,2.1,80,1000,376,,2024-10-11,
S1,card,2.3,80,1000,378,,2024-10-11,
S1,card,2.5,80,1000,393,,2024-10-11,
S1,card,2.7,80,1000,239,,2024-10-11,
S1,card,2.9,80,1000,361,,2024-10-11,
S1,card,0.1,80,1000,670,,2024-10-11,
S1,card,0.2,80,1000,550,,2024-10-11,
S1,card,0.3,80,1000,500,,2024-10-11,
S1,card,0.5,80,1000,485,,2024-10-11,
S1,card,0.7,80,1000,471,,2024-10-11,
S1,card,0.9,80,1000,503,,2024-10-11,
S1,card,1.1,80,1000,454,,2024-10-11,
S1,card,1.3,80,1000,437,,2024-10-11,
S1,card,1.5,80,1000,346,,2024-10-11,
S1,card,1.7,80,1000,410,,2024-10-11,
S1,card,1.9,80,1000,276,,2024-10-11,
S1,card,2.1,80,1000,404,,2024-10-11,
S1,card,2.3,80,1000,403,,2024-10-11,
S1,card,2.5,80,1000,419,,2024-10-11,
S1,card,2.7,80,1000,229,,2024-10-11,
S1,card,2.9,80,1000,335,,2024-10-11,
